cohesion_jaccard,cohesion_entropy,cohesion_centroid_cosine,separation_js,separation_topk,domain,timeline_type,num_segments,score_equal_weights,score_jaccard_focused,score_entropy_focused,score_separation_focused,score_cohesion_focused
0.23284361870057946,0.08572985086111728,0.23284361870057946,0.20454600486756486,0.3738826029060204,natural_language_processing,manual,4,0.4376587482470597,0.3165786722849341,0.5285156189721668,0.39240366658031267,0.43068961477668094
0.23840595706940895,0.08365151810252348,0.23840595706940895,0.15281188802259027,0.2883139301430116,natural_language_processing,gemini,6,0.4483178888092771,0.30989309123195946,0.5387102254530195,0.3959897068847935,0.43892679384441724
0.22966133745981354,0.08460613443147293,0.22966133745981354,0.2790771414386085,0.46153846153846156,natural_language_processing,random_0,6,0.43350409338972906,0.3318943383429501,0.5249350971375575,0.3985959589411746,0.4273975691097213
0.23060666296195295,0.08228013117815611,0.23060666296195295,0.3524961910215143,0.5230463627263022,natural_language_processing,random_1,6,0.43718465619809466,0.3511592584133424,0.5287997503127468,0.41261760608164744,0.43013591154822595
0.2305469856715504,0.08616219013617062,0.2305469856715504,0.2133023411330846,0.36616571577949175,natural_language_processing,random_2,4,0.44093945320621986,0.31878785748046307,0.532044896431857,0.39772085273640806,0.43194445685350275
0.23040812067384242,0.08011113596505431,0.23040812067384242,0.3502008023645082,0.5074626865671642,natural_language_processing,random_3,4,0.44080204651310767,0.3517653811380742,0.5327328122945881,0.4161704878589395,0.4324873579471229
0.0,1.0,0.0,0.0,1.0,natural_language_processing,random_4,2,0.0,0.0,0.0,0.0,0.0
0.22956318052586902,0.08189095430513858,0.22956318052586902,0.2922503481919162,0.4375,natural_language_processing,random_5,7,0.44322682150574566,0.3382271476021439,0.5350329368616112,0.4110832282635748,0.4335014102823841
0.0,1.0,0.0,0.0,1.0,natural_language_processing,random_6,2,0.0,0.0,0.0,0.0,0.0
0.23531263231631533,0.0834432471259087,0.23531263231631533,0.18416376682474153,0.384246326862771,natural_language_processing,random_7,5,0.43117636290827965,0.3106922494748846,0.522008912315983,0.38166557108990995,0.42776772393284923
0.23380294140265495,0.08437452906933449,0.23380294140265495,0.2105729014124328,0.40118914252951626,natural_language_processing,random_8,7,0.43288449867672507,0.31693398954873114,0.5237941692804597,0.38761256876327466,0.42825235401517814
0.230712350773281,0.08430227223839383,0.230712350773281,0.25767603172008835,0.41626936053335306,natural_language_processing,random_9,6,0.4398720726813785,0.3292308757006779,0.5312034562798219,0.4025309015340318,0.4315565753868552
0.23157110960313965,0.08438745438032247,0.23157110960313965,0.21892321858700942,0.3629878643999198,natural_language_processing,random_10,5,0.4437762993510985,0.3215227957992216,0.5349818241533035,0.4013462118969967,0.4341387814137341
0.2316475567704342,0.08473656831225157,0.2316475567704342,0.16786472133419408,0.29303014048244896,natural_language_processing,random_11,7,0.44846840275103905,0.310788262393165,0.5396171860733476,0.3994744393989643,0.43693781059970166
0.23391073026831927,0.08332863366704293,0.23391073026831927,0.25819014767389936,0.4375,natural_language_processing,random_12,7,0.43592134139674077,0.32941574266245677,0.5269560928720258,0.39756153834935093,0.4302207669124823
0.23032452703699266,0.08211775184693149,0.23032452703699266,0.3287042735083507,0.5134776069329928,natural_language_processing,random_13,5,0.43356188368168175,0.34418207009067525,0.5252362464971585,0.40525961794381393,0.42789829034657445
0.22957651639925233,0.0850698258162697,0.22957651639925233,0.2603232245620672,0.4375,natural_language_processing,random_14,2,0.4347196739708893,0.3277311709000159,0.5261001616754863,0.3973905384364469,0.4280513132985271
0.23240091143097658,0.08280005603735432,0.23240091143097658,0.2327009662078922,0.4126984126984127,natural_language_processing,random_15,5,0.43533426618146964,0.32252089595708866,0.5266408038523589,0.3935310366089024,0.429488817859756
0.22944332386130056,0.08086219146530857,0.22944332386130056,0.3071692774045663,0.4375,natural_language_processing,random_16,4,0.4470880620606903,0.34303266670684673,0.539047326683809,0.4174165972889131,0.4358965600950073
0.22971209409004584,0.08467250730786967,0.22971209409004584,0.28926187019343064,0.48484848484848486,natural_language_processing,random_17,2,0.43022862648160676,0.33330856200223413,0.5216440129618847,0.39635142382486643,0.4254397073712117
0.0,1.0,0.0,0.0,1.0,natural_language_processing,random_18,3,0.0,0.0,0.0,0.0,0.0
0.23570960471464314,0.08329443993629312,0.23570960471464314,0.26386160780459983,0.5074626865671642,natural_language_processing,random_19,2,0.42045385855819106,0.32655409838230043,0.5112533192713996,0.38073484043493455,0.42146571210916883
0.326540242229805,0.0783872363570984,0.326540242229805,0.14622227454375758,0.3116998305470202,computer_vision,manual,4,0.4710794856829362,0.35133581367530253,0.5504224885380158,0.4056560023513327,0.4787217656571243
0.3297155091426538,0.07716592074858984,0.3297155091426538,0.11744030966528521,0.2703959155564206,computer_vision,gemini,5,0.4754719481166691,0.34715920264375794,0.55455442413117,0.4059093977562062,0.48241241523902606
0.3404283924125812,0.07084120753647842,0.3404283924125812,0.29480896309669685,0.45627179877988744,computer_vision,random_0,4,0.4779702206273163,0.39507989574068536,0.556467607300775,0.4311779145706032,0.4877138333470258
0.322892808546816,0.07720585882630704,0.322892808546816,0.16556785172802507,0.35916909031670263,computer_vision,random_1,5,0.4630296500640514,0.3519749903921403,0.5430164944143017,0.3998301149375575,0.4729640600461137
0.0,1.0,0.0,0.0,1.0,computer_vision,random_2,3,0.0,0.0,0.0,0.0,0.0
0.3254932694198225,0.07521577987114095,0.3254932694198225,0.2415788972750999,0.425301340225854,computer_vision,random_3,4,0.46669784909039547,0.3725132871256704,0.5466033091849337,0.41396292798206286,0.4761380218001603
