Domain,Condition,Paradigm_Signals,Segment_Count,Detected_Years,Confidence_Scores,Execution_Time
natural_language_processing,Citation_Only,1,6,[2011],[np.float64(0.30396535743251063)],0.11503100395202637
natural_language_processing,Semantic_Only,3,6,"[2011, 2013, 2015]","[0.4, 0.4, 0.8]",0.13913297653198242
natural_language_processing,Direction_Only,6,6,"[1994, 1996, 1998, 2000, 2004, 2010]","[0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975, 0.4043154039624057]",0.11191201210021973
natural_language_processing,All_Signals,8,6,"[2011, 2013, 2015, 1994, 1996, 1998, 2000, 2004]","[np.float64(0.9039653574325106), 0.4, 0.8, 0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975]",0.1491849422454834
machine_translation,Citation_Only,0,2,[],[],0.027707815170288086
machine_translation,Semantic_Only,1,2,[2015],[0.4],0.040390729904174805
machine_translation,Direction_Only,3,2,"[2014, 2016, 2018]","[0.4380583289542827, 0.4253259846753596, 0.4866108293028194]",0.03292393684387207
machine_translation,All_Signals,2,2,"[2015, 2018]","[1.0, 0.4866108293028194]",0.04194307327270508
