Domain,Citation_Signals,Direction_Signals,Total_Signals,Timespan_Years,Total_Papers,Total_Citations,Signal_Density
natural_language_processing,1,18,19,72,440,1209962.0,0.2638888888888889
deep_learning,1,18,19,48,447,2991325.0,0.3958333333333333
computer_vision,0,11,11,61,471,1986799.0,0.18032786885245902
machine_learning,1,35,36,73,454,4143356.0,0.4931506849315068
machine_translation,0,4,4,29,225,288813.0,0.13793103448275862
applied_mathematics,1,60,61,129,465,4185867.0,0.4728682170542636
computer_science,1,41,42,69,468,5547963.0,0.6086956521739131
art,2,50,52,189,473,479850.0,0.2751322751322751
